"id","created_at","updated_at","device_id","bugreport","end_time","status","os","device_type","number_meetings","sum_meetings","has_error","error","comment","ecs_arn"
"01H96WNCS2VRA9H4XSBCHB2DJ1",2023-09-01 04:20:44.000 +0530,2023-09-01 04:34:08.000 +0530,"2326LZ5175E8",bugreports/2326LZ5175E8/debugarchive/2023-08-31/2023-08-31T22:50:45.259Z,2023-09-01 04:20:45.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/6e94354e25dc4f9b980448fb055d1169
"01H96Y65VE9QCKS9JSSAHMVVQ5",2023-09-01 04:47:23.000 +0530,2023-09-01 04:59:23.000 +0530,"2241LZ5024L8",bugreports/2241LZ5024L8/debugarchive/2023-08-31/2023-08-31T23:17:22.125Z,2023-09-01 04:47:22.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/652b451720a74893b80598ab1fa1febd
"01H96Y91RZEQZ4JNB8H81F2G1W",2023-09-01 04:48:57.000 +0530,2023-09-01 05:00:49.000 +0530,"2319LZ5138Z8",bugreports/2319LZ5138Z8/debugarchive/2023-08-31/2023-08-31T23:17:27.511Z,2023-09-01 04:47:28.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/dc5db8dcb70c48909210b7b3c186ef94
"01H96YA5XPEDR9NM95NHAQ2A5H",2023-09-01 04:49:34.000 +0530,2023-09-01 04:57:45.000 +0530,"2319LZ5138Z8",bugreports/2319LZ5138Z8/debugarchive/2023-08-31/2023-08-31T23:19:19.432Z,2023-09-01 04:49:19.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/c3fe2de4cb284fd68d204766a79065c8
"01H96YKK7CZK13SWZH85V0SSZX",2023-09-01 04:54:43.000 +0530,2023-09-01 05:03:29.000 +0530,"2241LZ502CE8",bugreports/2241LZ502CE8/debugarchive/2023-08-31/2023-08-31T23:24:19.435Z,2023-09-01 04:54:19.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/b0fafbdf175f4b54bdb70d82c47e3b52
"01H96ZF3Y6YBW376ZY2FZCP870",2023-09-01 05:09:44.000 +0530,2023-09-01 05:13:32.000 +0530,"2323LZ535HV8",bugreports/2323LZ535HV8/debugarchive/2023-08-31/2023-08-31T23:39:27.138Z,2023-09-01 05:09:27.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/7dc72dbb0ef04d57a7777d642756681e
"01H9701Y4AAF00V7FBBAHY25CC",2023-09-01 05:20:01.000 +0530,2023-09-01 05:33:09.000 +0530,"2323LZ537CG8",bugreports/2323LZ537CG8/debugarchive/2023-08-31/2023-08-31T23:49:38.332Z,2023-09-01 05:19:38.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/bf5969ea55c14b3a9600a9d3a907ca01
"01H97164791VQEDV30Z9EJ6D2V",2023-09-01 05:39:47.000 +0530,2023-09-01 05:48:59.000 +0530,"2241LZ502CT8",bugreports/2241LZ502CT8/debugarchive/2023-09-01/2023-09-01T00:09:38.435Z,2023-09-01 05:39:38.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/476d1c34d68f46f3ac8cda2a9b146d65
"01H971J5167SVZ6GYXCWM58ZRH",2023-09-01 05:46:21.000 +0530,2023-09-01 06:05:33.000 +0530,"2323LZ537CT8",bugreports/2323LZ537CT8/debugarchive/2023-09-01/2023-09-01T00:16:02.129Z,2023-09-01 05:46:02.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/e3a8051ecb05432395e569e7d1efb795
"01H971H7YQT7EKV6MDAA6GRJZ9",2023-09-01 05:45:51.000 +0530,2023-09-01 05:48:59.000 +0530,"2323LZ517408",bugreports/2323LZ517408/debugarchive/2023-09-01/2023-09-01T00:15:19.569Z,2023-09-01 05:45:20.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/0cf672f520764a6c83b4c417fbec162d
"01H9721GSKGEHQZ34HS7MP4D9J",2023-09-01 05:54:45.000 +0530,2023-09-01 06:02:35.000 +0530,"2241LZ502B38",bugreports/2241LZ502B38/debugarchive/2023-09-01/2023-09-01T00:24:21.087Z,2023-09-01 05:54:21.000 +0530,Processed,"0.901.103",LogiSight,0,0.0,false,"",,arn:aws:ecs:us-east-1:473540753547:task/Prod-NLP-Cluster/31ad505bb0044f9aa17e7e6848fd8377
